ID,Screen,Country / company,Claim,Source (APA),Link,Retrieved,Verified by,Notes,Quote
SG-1,currency banking,Singapore,"MAS runs monetary policy through the exchange rate, managing the S$NEER against an undisclosed basket within a policy band whose slope, width and midpoint are its levers, rather than through a short-term interest rate.","Monetary Authority of Singapore. (2026, April 14). MAS monetary policy statement—April 2026. Monetary Authority of Singapore.",https://www.mas.gov.sg/news/monetary-policy-statements/2026/mas-monetary-policy-statement-april-2026,,,"Confirm the April statement describes the band framework; if not, swap in MAS's monetary policy framework page.",
SG-2,currency banking,Singapore,"In April 2026 MAS slightly increased the rate of appreciation of the S$NEER policy band, reversing its 2025 easing as imported energy and external price pressures rose.","Monetary Authority of Singapore. (2026, April 14). MAS monetary policy statement—April 2026. Monetary Authority of Singapore.",https://www.mas.gov.sg/news/monetary-policy-statements/2026/mas-monetary-policy-statement-april-2026,,,,
SG-3,currency banking,Singapore,"In July 2026 MAS increased the rate of appreciation of the S$NEER band again, by a smaller amount, leaving the band's width and midpoint unchanged.","Monetary Authority of Singapore. (2026, July 27). MAS monetary policy statement—July 2026. Monetary Authority of Singapore.",https://www.mas.gov.sg/news/monetary-policy-statements/2026/mas-monetary-policy-statement-july-2026,,,,
SG-4,currency banking,Singapore,The weekly average S$NEER appreciated 1.2% in 2025 and a further 0.4% from end-2025 to April 2026.,International Monetary Fund. (2026). Singapore: 2026 Article IV consultation—Press release; staff report; and statement by the Executive Director for Singapore (Country Report No. 26/185). International Monetary Fund.,https://doi.org/10.5089/9798229054072.002,,,,
SG-5,currency banking,Singapore,Singapore's official reserves reached about US$427 billion by April 2026.,International Monetary Fund. (2026). Singapore: 2026 Article IV consultation—Press release; staff report; and statement by the Executive Director for Singapore (Country Report No. 26/185). International Monetary Fund.,https://doi.org/10.5089/9798229054072.002,,,,
SG-6,currency banking,Singapore,"Singapore maintains no multiple-currency practices or restrictions on payments and transfers for current international transactions, other than security-related restrictions notified to the IMF.",International Monetary Fund. (2026). Singapore: 2026 Article IV consultation—Press release; staff report; and statement by the Executive Director for Singapore (Country Report No. 26/185). International Monetary Fund.,https://doi.org/10.5089/9798229054072.002,,,"In the informational annex of Country Report 26/185 (Jeff's paper cites it as IMF 2026b; same link, so one APA entry).",
SG-7,currency banking,Singapore,"Singapore imposes no significant restrictions on foreign exchange transactions or capital movements, so profits and capital can be repatriated freely.",Deloitte. (2025). International tax: Singapore highlights 2025. Deloitte Touche Tohmatsu Limited.,https://www.deloitte.com/content/dam/assets-shared/docs/services/tax/2025/dttl-tax-singaporehighlights-2025.pdf,2026-09-13,,Same source as Politics & Risk SG-60.,There are no significant restrictions on foreign exchange transactions and capital
SG-8,currency banking,Singapore,"In 2025Q2 Singapore's banks had a capital adequacy ratio of about 18.5%, nonperforming loans of about 1.1% and a loan-to-deposit ratio near 66%, with liquidity coverage ratios above the 100% minimum for D-SIBs and major foreign subsidiaries.",International Monetary Fund. (2026). Singapore: 2026 Article IV consultation—Press release; staff report; and statement by the Executive Director for Singapore (Country Report No. 26/185). International Monetary Fund.,https://doi.org/10.5089/9798229054072.002,,,,
SG-9,currency banking,Singapore,"The IMF's 2026 review found Singapore's financial sector resilient and systemic risks contained, with vulnerabilities mainly external: cross-border exposures, US-dollar funding, commercial real estate, bank/non-bank links, cyber risk and leveraged corporates.",International Monetary Fund. (2026). Singapore: 2026 Article IV consultation—Press release; staff report; and statement by the Executive Director for Singapore (Country Report No. 26/185). International Monetary Fund.,https://doi.org/10.5089/9798229054072.002,,,,
VN-1,currency banking,Vietnam,As of May 2026 the State Bank of Vietnam's refinancing and discount rates remained at historically low levels of 4.5% and 3.0%.,World Bank. (2026). Viet Nam economic update: Staying the course on reforms amid volatility. World Bank Group.,https://documents1.worldbank.org/curated/en/099740005122628080/pdf/IDU-2ee874ce-e0c0-462b-9571-99e553ef83c9.pdf,,,,
VN-2,currency banking,Vietnam,"In August 2026 the Prime Minister instructed the SBV to keep policy rates stable, provide liquidity, lower funding costs and manage the exchange rate flexibly.","Government of Vietnam. (2026, August 14). PM orders SBV to monitor exchange rate flexibly in line with market developments. Government News.",https://en.baochinhphu.vn/pm-orders-sbv-to-monitor-exchange-rate-flexibly-in-line-with-market-developments-111260814092550224.htm,,,,
VN-3,currency banking,Vietnam,"The dong depreciated about 5% against the US dollar in 2024 and stayed under pressure in 2025, prompting SBV intervention and adjustments to the centre of its ±5% trading band.",International Monetary Fund. (2025). Vietnam: 2025 Article IV consultation—Press release; staff report; and statement by the Executive Director for Vietnam (Country Report No. 25/283). International Monetary Fund.,https://doi.org/10.5089/9798229026949.002,,,,
VN-4,currency banking,Vietnam,"The average market exchange rate in July 2026 was roughly VND 26,300 per US dollar.",Asian Development Bank. (2026). Economic and financial indicators: Viet Nam. Asia Regional Integration Center.,https://aric.adb.org/database/economic-financial-indicators-result?cty=160&frq=3&mode=preview&prec=3&predefined=6,,,,
VN-5,currency banking,Vietnam,"In mid-September 2026 the SBV reference rate was around VND 25,600 per US dollar, with commercial banks allowed to trade within ±5% of it.","VietnamPlus. (2026, September 14). Reference exchange rate up 11 VND at week's beginning. VietnamPlus.",https://en.vietnamplus.vn/state-bank-of-vietnam-tag62.vnp,,,"Link is a VietnamPlus tag page, not the article itself: replace with the article's own URL.",
VN-6,currency banking,Vietnam,The SBV issued Circular No. 38/2026/TT-NHNN on foreign exchange management for foreign investment on 31 July 2026; it took effect on 18 August 2026 and governs investment capital accounts.,"Indochine Counsel. (2026, September 2). Key takeaways from Circular No. 38/2026/TT-NHNN on foreign exchange management for foreign investment activities in Vietnam. Indochine Counsel.",https://indochinecounsel.com/regulatory-notes-key-takeaways-from-circular-no-38-2026-tt-nhnn-on-foreign-exchange-management-for-foreign-investment-activities-in-vietnam,2026-09-24,,Jeff's paper cites the circular itself (no URL); this law-firm summary gives the dates.,"On 31 July 2026, the Governor of the State Bank of Vietnam issued Circular No. 38/2026/TT-NHNN"
VN-7,currency banking,Vietnam,"Foreign investors may remit profits out of Vietnam annually at fiscal year end or on termination, after audited financial statements and tax finalisation; companies with accumulated losses cannot remit.",Vietnam Briefing. (2026). Profit repatriation in Vietnam: A brief guide in 2026. Dezan Shira & Associates.,https://www.vietnam-briefing.com/news/profit-repatriation-vietnam-brief-guide-2026.html,2026-09-13,,Same source as Politics & Risk VN-60.,notifications be lodged at least seven working days prior to the scheduled remittance of profits
VN-8,currency banking,Vietnam,"In March 2025 Vietnam's on-balance-sheet NPLs were 5.3%, capital adequacy was 10.4% at public banks and 12.1% at private banks, and the system loan-to-deposit ratio exceeded 100%.",International Monetary Fund. (2025). Vietnam: 2025 Article IV consultation—Press release; staff report; and statement by the Executive Director for Vietnam (Country Report No. 25/283). International Monetary Fund.,https://doi.org/10.5089/9798229026949.002,,,,
VN-9,currency banking,Vietnam,Credit growth continued to outpace deposits; the retail-deposit share fell from 48% in 2024 to 44% in 2025 and banks leaned more on bond issuance and interbank funding.,World Bank. (2026). Viet Nam economic update: Staying the course on reforms amid volatility. World Bank Group.,https://documents1.worldbank.org/curated/en/099740005122628080/pdf/IDU-2ee874ce-e0c0-462b-9571-99e553ef83c9.pdf,,,,
VN-10,currency banking,Vietnam,Six- to twelve-month deposit rates rose to roughly 6-8% in March 2026 as banks competed for funding.,World Bank. (2026). Viet Nam economic update: Staying the course on reforms amid volatility. World Bank Group.,https://documents1.worldbank.org/curated/en/099740005122628080/pdf/IDU-2ee874ce-e0c0-462b-9571-99e553ef83c9.pdf,,,,
