ID,Screen,Country / company,Claim,Source (APA),Link,Retrieved,Verified by,Notes,Quote
SG-1,need to know,Singapore,"Every traveller must submit the electronic SG Arrival Card with Electronic Health Declaration within three days before arriving in Singapore, and it is free.",Immigration & Checkpoints Authority. (n.d.). SG Arrival Card (SGAC) with Electronic Health Declaration. Immigration & Checkpoints Authority.,https://www.ica.gov.sg/enter-transit-depart/entering-singapore/sg-arrival-card,2026-09-13,,,within three (3) days (including the day of arrival) before arrival in Singapore
SG-2,need to know,Singapore,"US citizens do not need a visa for business or social visits to Singapore of 90 days or less, and passports should have six months of validity remaining.",International Trade Administration. (n.d.). Singapore - Business travel. U.S. Department of Commerce.,https://www.trade.gov/country-commercial-guides/singapore-business-travel,2026-09-13,,,United States citizens do not need a visa if their visit to Singapore is for business or social purposes and their stay is for 90 days or less.
SG-3,need to know,Singapore,"English is the working language of Singapore: most people speak it and it is the language of business, government, education and media.",International Trade Administration. (n.d.). Singapore - Business travel. U.S. Department of Commerce.,https://www.trade.gov/country-commercial-guides/singapore-business-travel,2026-09-13,,,"It is the language of business, Government, education, and the media."
SG-4,need to know,Singapore,Business cards are essential in Singapore and are the first item exchanged in meetings; they are presented with both hands.,International Trade Administration. (n.d.). Singapore - Business travel. U.S. Department of Commerce.,https://www.trade.gov/country-commercial-guides/singapore-business-travel,2026-09-13,,,The business card is present using both hands.
SG-5,need to know,Singapore,"Singapore's Goods and Services Tax rate is 9 percent as of September 2026, charged on most sales of goods and services.",Inland Revenue Authority of Singapore. (n.d.). Current GST rates. IRAS.,https://www.iras.gov.sg/taxes/goods-services-tax-(gst)/basics-of-gst/current-gst-rates,2026-09-13,,,The current GST rate in Singapore is 9%.
SG-6,need to know,Singapore,"Restaurants and hotels normally add a 10 percent service charge plus 9 percent GST (the ""++"" on menus), so tipping on top is not customary.",Food & Hotel Asia. (n.d.). What is a service charge in Singapore? Food & Hotel Asia.,https://www.foodnhotelasia.com/glossary/horeca/what-is-a-service-charge-in-singapore/,2026-09-13,,,"Usually set at 10% of the total bill, this charge is intended to cover the cost of services provided"
SG-7,need to know,Singapore,"Changi Airport was named Airport of the Year 2026 at the World Airport Awards on 18 March 2026, having previously won the title 13 times.","Skytrax. (2026, March 18). Singapore Changi Airport is named the World's Best Airport in 2026. Skytrax Ratings.",https://skytraxratings.com/2026-world-airport-awards-are-announced,2026-09-13,,,Singapore Changi Airport has been named as the Airport of the Year 2026 at the 2026 World Airport Awards ceremony
SG-8,need to know,Singapore,"The US State Department rates Singapore Level 1, ""Exercise normal precautions"" (advisory issued 9 March 2026), and notes crime against foreigners is rare.","U.S. Department of State. (2026, March 9). Singapore international travel information. Bureau of Consular Affairs.",https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Singapore.html,2026-09-13,,,Level 1 - Exercise normal precautions
SG-9,need to know,Singapore,"Vapes are illegal in Singapore: since 1 May 2026 an individual caught possessing or using a vaporiser can be fined up to S$10,000.",Government of Singapore. (n.d.). Stop vaping - Higher penalties for vaping offences. gov.sg.,https://www.gov.sg/stopvaping-penalties/,2026-09-13,,,"Can be fined up to $10,000"
SG-10,need to know,Singapore,"Importing chewing gum into Singapore is absolutely prohibited under the Regulation of Imports and Exports (Chewing Gum) Regulations, with only a narrow free-trade-zone re-export exception.",Singapore Customs. (n.d.). Chewing gum. Singapore Customs.,https://customs.gov.sg/businesses/national-single-window/tradenet/competent-authorities-requirements/chewing-gum/,2026-09-13,,,absolutely prohibited under the Regulation of Imports and Exports(Chewing Gum) Regulations
SG-11,need to know,Singapore,"Singapore has two monsoon seasons - the Northeast Monsoon from December to early March and the Southwest Monsoon from June to September - with about 171 rain days and 2,113.3 mm of rain a year.",Meteorological Service Singapore. (n.d.). Climate of Singapore. Meteorological Service Singapore.,http://www.weather.gov.sg/climate-climate-of-singapore/,2026-09-13,,,Rainfall is plentiful in Singapore and it rains an average of 171 days of the year.
SG-12,need to know,Singapore,Singapore ranked first in the world on the World Bank's 2023 Logistics Performance Index with a score of 4.3.,World Bank. (2023). Logistics Performance Index: Global rankings 2023. World Bank.,https://lpi.worldbank.org/international/global,2026-09-13,,,Singapore | 2023 | 1 | 4.3
SG-13,at a glance,Singapore,Singapore's currency is the Singapore dollar (SGD).,Deloitte. (2025). International tax: Singapore highlights 2025. Deloitte Touche Tohmatsu Limited.,https://www.deloitte.com/content/dam/assets-shared/docs/services/tax/2025/dttl-tax-singaporehighlights-2025.pdf,2026-09-13,,,Currency: Singapore Dollar (SGD)
SG-14,at a glance,Singapore,"Singapore's government is organised into three organs of state - the Executive, the Legislature and the Judiciary - under a written constitution that is the supreme law.",Prime Minister's Office Singapore. (n.d.). The Government. Prime Minister's Office.,https://www.pmo.gov.sg/about-us/the-government/,2026-09-13,,,"the Executive, the Legislative and the Judiciary"
SG-15,at a glance,Singapore,"The head of state is President Tharman Shanmugaratnam, sworn in on 14 September 2023; since 1991 the president has been directly elected for a six-year term with no term limits.",Istana Singapore. (n.d.). The Presidency. The Istana.,https://www.istana.gov.sg/the-president/presidents-duties/the-presidency/,2026-09-13,,,sworn in as the ninth President of the Republic of Singapore on 14 September 2023
SG-16,at a glance,Singapore,"Lawrence Wong is Prime Minister of Singapore and also serves as Minister for Finance, leading a People's Action Party government.",Prime Minister's Office Singapore. (n.d.). The Cabinet. Prime Minister's Office.,https://www.pmo.gov.sg/The-Cabinet,2026-09-13,,,Prime Minister and Minister for Finance
SG-17,at a glance,Singapore,"At the general election of 3 May 2025 the People's Action Party won 87 of 97 parliamentary seats, and the Workers' Party retained 10 seats as the only opposition in Parliament.",US-ASEAN Business Council. (2025). Singapore General Election 2025 (GE2025): Political landscape and policy continuity. US-ASEAN Business Council.,https://www.usasean.org/article/singapore-general-election-2025-ge2025-political-landscape-and-policy-continuity,2026-09-13,,,87 of 97 seats
SG-18,at a glance,Singapore,"The PAP's share of the popular vote rose to 65.57 percent in the 2025 general election, up from 61.23 percent in 2020.",US-ASEAN Business Council. (2025). Singapore General Election 2025 (GE2025): Political landscape and policy continuity. US-ASEAN Business Council.,https://www.usasean.org/article/singapore-general-election-2025-ge2025-political-landscape-and-policy-continuity,2026-09-13,,,"increased its share of the popular vote to 65.57%, up from 61.23% in 2020"
SG-19,at a glance,Singapore,"Singapore scored 84 on Transparency International's latest Corruption Perceptions Index, ranking 3rd out of 182 countries, unchanged from the previous year.",Transparency International. (2026). Singapore. Transparency.org.,https://www.transparency.org/en/countries/singapore,2026-09-13,,,"Singapore has a score of 84 this year, with a change of 0 since last year, meaning it ranks 3 out of 182 countries."
SG-20,at a glance,Singapore,Singapore's Corrupt Practices Investigation Bureau confirms the country retained third place globally and first in Asia Pacific on the 2025 CPI with a score of 84.,Corrupt Practices Investigation Bureau. (2026). 2025 TI CPI: Singapore maintains global third spot and top position in Asia Pacific. CPIB.,https://www.cpib.gov.sg/2025-ti-cpi-singapore-maintains-global-third-spot-and-top-position-in-asia-pacific/,2026-09-13,,,the world's third least corrupt country out of 182 countries
SG-21,at a glance,Singapore,"Singapore holds top-tier sovereign credit ratings from all three major agencies: Aaa from Moody's (stable, May 2026), AAA from S&P and AAA from Fitch, all with stable outlooks.",countryeconomy.com. (2026). Singapore credit rating 2026. countryeconomy.com.,https://countryeconomy.com/ratings/singapore,2026-09-13,,,Aaa rating with Stable outlook
SG-22,at a glance,Singapore,"Singapore's total population was 6.11 million as at June 2025, up 1.2 percent year on year, comprising 3.66 million citizens, 0.54 million PRs and 1.91 million non-residents.",National Population and Talent Division. (2025). Overall population. Population.gov.sg.,https://www.population.gov.sg/our-population/population-trends/overall-population/,2026-09-13,,,6.11 million
SG-23,at a glance,Singapore,"Singapore has the highest GDP per capita in Asia at US$84,734 as of 2023.",International Trade Administration. (n.d.). Singapore - Market overview. U.S. Department of Commerce.,https://www.trade.gov/country-commercial-guides/singapore-market-overview,2026-09-13,,,"Singapore has the highest GDP per capita in Asia (US$84,734 as of 2023)."
SG-24,dangers government,Singapore,"The Foreign Interference (Countermeasures) Act, passed in October 2021, gives the government powers against hostile information campaigns (in force July 2022) and over ""politically significant persons"" (in force December 2023).",Ministry of Home Affairs. (n.d.). Introduction to Foreign Interference (Countermeasures) Act (FICA). Ministry of Home Affairs.,https://www.mha.gov.sg/what-we-do/foreign-interference/fica/,2026-09-13,,,"FICA is a law passed by the Singapore Parliament that gives the government tools to detect, prevent and counter foreign interference"
SG-25,dangers government,Singapore,"Under POFMA the government's main tool is the correction direction, which requires a poster to attach a notice linking to the government's clarification rather than removing the content.",POFMA Office. (n.d.). Protection from Online Falsehoods and Manipulation Act. POFMA Office.,https://www.pofmaoffice.gov.sg/,2026-09-13,,,"require recipients to insert a notice against the original post, with a link to the Government's clarification"
SG-26,dangers government,Singapore,"Under the Public Order Act a police permit is required for any public assembly or procession that demonstrates support for or opposition to any government, publicises a cause, or commemorates an event.",Ministry of Home Affairs. (n.d.). Maintaining public order. Ministry of Home Affairs.,https://www.mha.gov.sg/what-we-do/maintaining-law-and-order/maintaining-public-order/,2026-09-13,,,"Demonstrate support for or opposition to the views or actions of any persons, group of persons or any government"
