indicator,country,year,value,sample
cpi_score,SG,2016,83,true
cpi_score,SG,2017,84,true
cpi_score,SG,2018,85,true
cpi_score,SG,2019,83,true
cpi_score,SG,2020,84,true
cpi_score,SG,2021,83,true
cpi_score,SG,2022,85,true
cpi_score,SG,2023,84,true
cpi_score,SG,2024,84,true
cpi_score,SG,2025,83,true
cpi_score,VN,2016,32,true
cpi_score,VN,2017,35,true
cpi_score,VN,2018,36,true
cpi_score,VN,2019,36,true
cpi_score,VN,2020,36,true
cpi_score,VN,2021,37,true
cpi_score,VN,2022,37,true
cpi_score,VN,2023,39,true
cpi_score,VN,2024,39,true
cpi_score,VN,2025,42,true
cpi_rank,SG,2016,7,true
cpi_rank,SG,2017,7,true
cpi_rank,SG,2018,7,true
cpi_rank,SG,2019,5,true
cpi_rank,SG,2020,5,true
cpi_rank,SG,2021,4,true
cpi_rank,SG,2022,5,true
cpi_rank,SG,2023,4,true
cpi_rank,SG,2024,3,true
cpi_rank,SG,2025,3,true
cpi_rank,VN,2016,111,true
cpi_rank,VN,2017,106,true
cpi_rank,VN,2018,104,true
cpi_rank,VN,2019,109,true
cpi_rank,VN,2020,105,true
cpi_rank,VN,2021,101,true
cpi_rank,VN,2022,97,true
cpi_rank,VN,2023,96,true
cpi_rank,VN,2024,92,true
cpi_rank,VN,2025,87,true
wgi_political_stability,SG,2016,95.8,true
wgi_political_stability,SG,2017,95.6,true
wgi_political_stability,SG,2018,95.9,true
wgi_political_stability,SG,2019,96.6,true
wgi_political_stability,SG,2020,96.2,true
wgi_political_stability,SG,2021,95.7,true
wgi_political_stability,SG,2022,96.7,true
wgi_political_stability,SG,2023,96.1,true
wgi_political_stability,SG,2024,96.8,true
wgi_political_stability,SG,2025,96.7,true
wgi_political_stability,VN,2016,46.2,true
wgi_political_stability,VN,2017,45.8,true
wgi_political_stability,VN,2018,51.8,true
wgi_political_stability,VN,2019,49.6,true
wgi_political_stability,VN,2020,47.3,true
wgi_political_stability,VN,2021,53.2,true
wgi_political_stability,VN,2022,50.3,true
wgi_political_stability,VN,2023,52.3,true
wgi_political_stability,VN,2024,49.7,true
wgi_political_stability,VN,2025,52.3,true
wgi_rule_of_law,SG,2016,95.8,true
wgi_rule_of_law,SG,2017,94.6,true
wgi_rule_of_law,SG,2018,95.5,true
wgi_rule_of_law,SG,2019,95.2,true
wgi_rule_of_law,SG,2020,95.3,true
wgi_rule_of_law,SG,2021,96,true
wgi_rule_of_law,SG,2022,95.2,true
wgi_rule_of_law,SG,2023,96.3,true
wgi_rule_of_law,SG,2024,96.4,true
wgi_rule_of_law,SG,2025,95.4,true
wgi_rule_of_law,VN,2016,47.6,true
wgi_rule_of_law,VN,2017,48.7,true
wgi_rule_of_law,VN,2018,51.8,true
wgi_rule_of_law,VN,2019,51.1,true
wgi_rule_of_law,VN,2020,51,true
wgi_rule_of_law,VN,2021,52.8,true
wgi_rule_of_law,VN,2022,53.4,true
wgi_rule_of_law,VN,2023,51.9,true
