What we wanted,Why it is not on the dashboard
Singapore's four official languages,Constitution page blocked; CIA World Factbook discontinued 4 Feb 2026
Next Singapore general election due date,No fetched page states it
MAS S$27.45m penalties on nine institutions (July 2025),MAS and CNBC pages blocked; cited instead via SCMP as MC-10
MAS Sept 2026 inflation forecasts,No verbatim quote captured
Singapore trade-to-GDP ratio,Not retrieved
Gift rules for Singapore public officials,CPIB page returned 404
Micron US$24bn Singapore plant,Page blocked
Current haze / PSI readings,NEA page 404; haze.gov.sg served a 2015 archive
"US State Department 2025 Investment Climate Statements, both countries",state.gov blocked (403)
Vietnam internationally accredited (JCI) hospitals,No verified source found
Ho Chi Minh City annual PM2.5,Not retrievable from IQAir city page; national and Hanoi figures verified
2014 riots detail by location,CNN page blocked by robots.txt
"Crocs office at 150 Cecil Street, opened 2019","Unsupported; registered address is 11 North Buona Vista Drive (CR-19), office completed 2018 (CR-20)"
Crocs Asia Pacific segment revenue,Crocs reports North America vs International only
Named Crocs factories or provinces in Vietnam,Crocs does not disclose them
